MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn;time;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202007160950;16.3;0.0;0;262;80;12.8;219;9.4;19.8;956.8;1019.0;1020.3;-;-;-;-;-;-;-;-
COM;202007160950;22.2;0.0;3;520;49;11.0;156;5.0;9.4;948.9;1013.5;1016.4;-;-;-;-;-;-;-;-
ABO;202007160950;11.1;0.0;0;233;95;10.3;49;12.6;19.1;872.0;-;1022.7;1539.7;-;-;-;-;-;-;-
AIG;202007160950;18.1;0.0;0;258;74;13.4;327;6.8;12.6;975.4;1019.7;1020.8;-;-;-;-;-;-;-;-
ALT;202007160950;16.2;0.0;0;269;85;13.6;322;14.8;24.5;968.5;1019.6;1020.5;-;-;-;-;-;-;-;-
ARH;202007160950;16.8;0.0;0;187;82;13.8;255;11.5;20.5;972.6;1018.9;1019.8;-;-;-;-;-;-;-;-
AND;202007160950;15.4;0.0;0;586;74;10.9;3;11.2;18.0;906.6;-;1020.5;1531.9;-;-;-;-;-;-;-
ANT;202007160950;10.8;0.0;0;433;90;9.2;32;16.9;30.2;859.9;-;1022.4;1535.4;-;-;-;-;-;-;-
ARO;202007160950;7.7;0.0;0;155;97;7.3;71;8.6;12.6;815.0;-;1022.9;1530.5;-;-;-;-;-;-;-
RAG;202007160950;16.3;0.0;0;244;87;14.2;11;3.6;6.1;961.8;1019.3;1020.5;-;-;-;-;-;-;-;-
BAN;202007160950;-;-;0;164;-;-;-;-;-;-;-;-;-;-;258;11.5;17.6;11.6;93.8;10.6
BAS;202007160950;18.2;0.0;0;284;73;13.2;235;8.6;16.6;982.4;1019.4;1020.2;-;-;-;-;-;-;-;-
LAT;202007160950;12.6;0.0;-;-;84;10.0;318;4.7;12.6;-;-;-;-;-;-;-;-;-;-;-
BER;202007160950;16.8;0.0;0;235;77;12.7;247;6.5;11.5;955.9;1019.7;1021.2;-;-;-;-;-;-;-;-
BEZ;202007160950;17.6;0.0;0;217;77;13.5;247;5.0;10.1;981.2;1019.3;1020.1;-;-;-;-;-;-;-;-
BIA;202007160950;23.4;0.0;0;377;46;11.3;165;9.4;16.6;982.2;1014.0;1015.3;-;-;-;-;-;-;-;-
BIN;202007160950;13.6;0.0;-;-;80;10.2;244;9.0;16.6;-;-;-;-;-;-;-;-;-;-;-
BIZ;202007160950;16.4;0.0;0;172;100;16.4;227;9.4;17.3;965.0;1019.3;1020.3;-;-;-;-;-;-;-;-
BIV;202007160950;10.6;0.0;-;-;81;7.6;272;20.5;28.4;-;-;-;-;-;-;-;-;-;-;-
BIE;202007160950;16.5;0.0;0;416;77;12.5;135;8.3;14.4;941.6;-;1021.7;1547.7;-;-;-;-;-;-;-
BLA;202007160950;14.2;0.0;4;589;67;8.1;229;5.0;12.2;849.0;-;1021.9;1528.9;-;-;-;-;-;-;-
BOL;202007160950;14.7;0.0;0;213;89;12.9;55;10.4;14.4;926.2;-;1021.6;1541.4;-;-;-;-;-;-;-
BOU;202007160950;17.8;-;-;-;76;13.5;294;5.4;7.6;976.7;1020.2;1021.2;-;-;-;-;-;-;-;-
BRZ;202007160950;-;0.0;-;-;-;-;282;16.6;24.5;953.8;-;1020.6;-;-;-;-;-;-;-;-
BUS;202007160950;18.8;0.0;0;429;69;12.9;255;7.6;15.8;974.3;1019.1;1020.3;-;-;-;-;-;-;-;-
BUF;202007160950;11.2;0.0;0;393;66;5.0;299;12.6;22.3;805.3;-;1022.1;1515.6;-;-;-;-;-;-;-
FRE;202007160950;11.3;0.0;0;148;82;8.3;320;4.0;10.1;884.9;-;1022.8;1541.7;-;-;-;-;-;-;-
CEV;202007160950;23.3;0.0;0;369;54;13.4;220;5.0;16.6;966.3;1013.9;1016.1;-;-;-;-;-;-;-;-
CHZ;202007160950;16.9;0.0;0;220;82;13.8;194;4.7;7.9;968.3;1019.7;1020.8;-;-;-;-;-;-;-;-
CHA;202007160950;7.6;0.0;0;179;99;7.5;303;29.2;43.9;843.8;-;1022.7;1535.2;-;-;-;-;-;-;-
CHM;202007160950;12.2;0.0;0;308;79;8.7;260;7.6;20.5;892.2;-;1022.5;1541.4;-;-;-;-;-;-;-
CHU;202007160950;16.5;0.0;0;289;87;14.3;24;10.4;17.6;954.7;1018.8;1020.2;-;-;-;-;-;-;-;-
CHD;202007160950;13.6;0.0;0;287;91;12.1;198;9.4;15.1;903.7;-;1022.2;1542.2;-;-;-;-;-;-;-
CIM;202007160950;17.5;0.0;10;1035;62;10.0;254;7.9;19.4;835.6;-;1021.2;1515.8;-;-;-;-;-;-;-
CDM;202007160950;10.9;0.0;-;-;98;10.7;207;9.4;13.7;-;-;-;-;-;-;-;-;-;-;-
GSB;202007160950;7.3;0.0;5;782;76;3.4;88;28.4;49.0;757.0;-;1024.8;-;3128.1;-;-;-;-;-;-
COY;202007160950;16.0;0.0;-;-;73;11.1;231;15.1;23.8;-;-;-;-;-;-;-;-;-;-;-
CMA;202007160950;4.7;-;0;186;100;4.7;272;5.8;11.5;756.7;-;1023.6;-;3112.5;-;-;-;-;-;-
CRM;202007160950;18.8;0.0;0;350;74;14.1;266;5.8;10.8;969.7;1019.4;1020.7;-;-;-;-;-;-;-;-
DAV;202007160950;10.9;0.0;0;328;89;9.2;40;20.5;30.6;843.2;-;1022.0;1528.5;-;-;-;-;-;-;-
DEM;202007160950;17.3;0.0;0;186;74;12.6;261;10.1;15.1;968.7;1019.6;1020.7;-;-;-;-;-;-;-;-
DIS;202007160950;12.7;0.0;0;318;82;9.7;88;6.5;10.1;884.6;-;1021.4;1532.4;-;-;-;-;-;-;-
EBK;202007160950;15.1;0.0;0;199;90;13.5;237;5.8;11.5;947.5;-;1020.7;1534.7;-;-;-;-;-;-;-
EGH;202007160950;3.6;-;0;395;95;2.9;231;4.7;10.1;719.9;-;1025.7;-;3121.8;-;-;-;-;-;-
EGO;202007160950;17.6;0.0;1;486;93;16.4;264;12.2;18.0;959.2;1019.3;1020.8;-;-;-;-;-;-;-;-
EIN;202007160950;12.8;0.0;0;156;90;11.2;229;8.6;14.4;916.2;-;1021.7;1537.4;-;-;-;-;-;-;-
ELM;202007160950;12.7;0.0;0;205;95;12.0;327;2.9;6.1;910.7;-;1021.4;1534.1;-;-;-;-;-;-;-
ENG;202007160950;11.7;0.1;0;129;96;11.1;236;10.1;16.6;902.6;-;1022.0;1536.7;-;-;-;-;-;-;-
EVI;202007160950;18.1;0.0;0;454;73;13.3;339;23.8;37.8;963.6;1019.2;1020.6;-;-;-;-;-;-;-;-
EVO;202007160950;12.8;0.0;3;782;74;8.4;285;9.0;15.1;820.2;-;1023.1;1527.7;-;-;-;-;-;-;-
FAH;202007160950;16.0;0.0;0;378;82;12.9;256;13.3;25.2;951.0;1019.8;1021.2;-;-;-;-;-;-;-;-
FLU;202007160950;12.2;0.4;-;-;94;11.3;249;3.6;7.2;-;-;-;-;-;-;-;-;-;-;-
GRA;202007160950;16.2;0.0;0;139;77;12.1;324;3.6;6.5;945.3;-;1021.7;1546.4;-;-;-;-;-;-;-
FRU;202007160950;14.5;0.0;0;451;92;13.2;44;14.4;25.9;-;-;-;-;-;-;-;-;-;-;-
GVE;202007160950;20.1;0.0;5;752;61;12.2;63;11.5;18.7;971.9;1019.2;1020.8;-;-;-;-;-;-;-;-
GES;202007160950;14.6;0.0;-;-;94;13.6;24;2.9;7.9;-;-;-;-;-;-;-;-;-;-;-
GIH;202007160950;16.4;0.1;0;265;90;14.8;56;9.4;18.0;965.1;1019.8;1020.9;-;-;-;-;-;-;-;-
GLA;202007160950;15.8;0.0;0;140;83;12.9;308;8.6;17.6;959.4;1019.3;1020.5;-;-;-;-;-;-;-;-
GOR;202007160950;3.7;-;2;511;78;0.2;33;3.2;7.9;699.5;-;1026.8;-;3124.1;-;-;-;-;-;-
GRE;202007160950;18.8;0.0;4;525;70;13.2;218;12.6;21.2;969.8;1019.3;1020.6;-;-;-;-;-;-;-;-
GRH;202007160950;7.0;0.0;0;225;99;6.8;352;20.9;30.6;807.4;-;1023.7;1536.3;-;-;-;-;-;-;-
